v,RH,u,N,PA,CW
16.7,26.7,1,2,887.8,0
14,69.2,0.5,0,886.4,0.056
17.8,40.2,1.1,0,886,0
15.4,18.3,1.2,0,888.7,0
16.4,52.3,1,0,886.4,0.111
13.5,55.1,1.1,0,886.7,0.083
18.5,41.3,0.7,8,888.2,0
12.3,68.8,1.5,0,886.8,0.167
9.5,66.9,1.4,8,886.1,0.222
19.2,51.7,0.6,0,886,0.042
19.3,35.4,0.9,0,885.3,0.056
17.4,41.5,0.7,0,885,0.056
12.8,68.4,1,8,886.4,0.278
15,32.3,1.2,2,885.4,0.028
12.9,86.5,1.3,0,889.3,0.014
9.9,62.9,0.5,0,887.8,0.056
12.8,39,0.9,0,887.4,0
16.4,21.4,1,0,887.6,0
14.6,47.6,1.1,2,886.6,0
16.9,13.7,0.8,0,889.6,0
19.6,19.5,0.9,0,885.8,0
17.8,59.4,0.6,0,884.9,0.042
10.3,76.3,0.9,8,887,0.022
12.4,85.2,1,8,888.1,0.056
15.6,33.6,0.8,6,884.5,0
15.7,18.1,1.2,0,887.6,0
16.9,50.4,1.2,0,887.6,0.125
17.1,43.9,0.9,4,887,0
12.5,74.6,1.5,2,889.3,0.153
16.4,69.1,0.9,2,888.4,0.056
19.1,35.1,0.8,0,888.1,0.056
9.7,34.2,0.9,2,883.9,0
11.3,73.1,1.2,8,887.5,0
14.1,29.5,1.1,0,888.4,0
13.8,49.1,0.8,2,886.6,0
13.3,64.8,1.1,8,888,0.042
17.3,56.1,1,0,885.9,0
17.6,65,1.1,2,888,0.014
12,90.4,1.5,0,886.1,0.083
17.5,52.4,0.6,2,885.1,0.056
9.6,54.4,0.9,8,888.5,0.278
16.4,62.3,0.8,8,884.6,0.222
13.1,53.3,1.3,0,889.2,0
16.4,70.6,0.8,0,886.6,0.028
17.8,55.8,0.8,0,889.3,0.056
12.5,60.3,1.1,0,888.6,0.056
14.8,24.7,1.4,8,888.2,0
12.2,37.4,0.9,0,888.4,0
14.8,64,1,0,889.3,0.028
10.6,88.6,1.5,6,887.7,0.111
15.9,42.3,0.7,0,887.6,0
22.4,21.6,0.9,0,885.8,0
12.7,31,1,8,890.1,0
14.9,43.5,0.7,0,885.9,0
10.9,58.7,1.5,0,887.2,0.028
11.1,84.3,0.7,8,887.2,0.167
9.1,73.4,1.5,8,886.5,0.222
14,41.7,1,2,886.7,0.25
17.5,63.1,0.7,0,884.2,0.014
14.9,66.9,0.8,0,886.8,0.014
17.8,56.1,0.7,0,887,0.222
12.6,44.7,1.3,2,887.5,0
22.7,24.4,0.7,0,885.2,0
13,37.3,1.2,8,888.4,0
13.2,41.8,0.8,0,887.1,0
17.5,62.5,0.5,0,887.1,0.056
17.1,30.6,1.2,2,889.1,0
15.8,68.6,0.8,0,886.6,0.042
21.6,16.7,0.8,2,887,0
17.2,61.8,0.8,0,884.5,0.028
18.8,36.4,1.1,0,885.9,0
17.4,55.2,1.3,0,890.1,0.014
13.3,49.7,1.2,0,886.9,0
16.1,66.3,0.5,0,885.7,0.056
21.8,46.5,0.7,0,882.9,0
12.7,50.8,0.9,6,887.7,0
16.7,30.6,1,0,886.4,0
15.9,47.3,0.9,0,886.8,0
16.6,44.2,0.7,0,887.6,0
17.2,58.8,0.7,0,886.4,0.056
15.4,42.6,0.8,0,887.8,0
19.5,43.9,0.9,0,887.8,0
14.7,75.2,1.2,0,885.8,0.167
14.6,58.9,0.8,4,887.6,0.111
16.9,43.1,0.8,2,886.4,0.083
12.3,53.7,0.8,0,886.8,0
17.5,67,0.7,0,883.7,0.056
13.3,66.5,0.9,0,889,0.083
12.6,67.7,0.8,0,886.8,0.014
19.4,29.1,0.7,0,885.9,0
16.9,63.3,0.6,0,887.9,0.083
17.9,54.2,0.5,0,885.5,0.042
13,57,1.4,0,885.7,0
16.5,70,0.9,8,886.1,0.028
9.8,61.7,1.4,0,888.7,0.139
8.8,52.8,1,2,883.2,0.194
16.8,26.6,1.1,2,887.9,0
18,48.6,0.7,2,888.4,0.042
19.5,20,1,2,886.5,0
9.9,62.3,1.3,6,890.3,0.111
12.3,64.8,0.9,0,887.6,0.042
15.3,54.3,0.6,2,886.9,0
13.4,57.4,0.8,0,888.4,0
20.7,36.6,0.9,0,885.9,0
9.6,65.7,0.7,0,891,0.083
15.2,48.9,3.6,8,886.2,0.056
14.9,17.6,0.9,0,887.8,0
16.3,66.2,0.9,8,884.4,0.028
17,38.4,1.3,0,888.1,0
