No,CW,Ta,RH,u,N,PA
105,0.056,12.4,85.2,1,8,888.1
106,0.042,13.3,77.3,0.8,0,888.1
107,0.042,16.1,67.7,0.9,0,887.7
108,0.042,17.5,61.4,0.8,0,887.5
109,0.028,16.5,70,0.9,8,886.1
110,0,16.3,70.5,0.8,0,886.8
111,0.028,16.4,70.6,0.8,0,886.6
112,0,18.9,56.4,0.6,0,886
113,0.014,18.3,58.5,0.8,0,885.9
114,0.028,16.3,66.2,0.9,8,884.4
115,0.056,17.3,63,0.9,0,885.2
116,0.056,16.4,69.1,0.9,2,888.4
117,0.042,18,48.6,0.7,2,888.4
118,0.056,17.8,55.8,0.8,0,889.3
119,0.028,16.7,66.5,0.9,0,885.9
120,0.028,15.2,54.4,0.7,0,886
121,0.028,15.2,64.5,0.9,2,885
122,0.042,14.5,68.6,0.7,2,884
123,0.028,16.6,61,0.7,2,886.2
124,0.056,16.3,57.8,0.6,0,886.4
125,0.056,17.5,52.4,0.6,2,885.1
126,0.042,17.9,54.2,0.5,0,885.5
127,0.042,17.8,59.4,0.6,0,884.9
128,0.042,15.8,68.6,0.8,0,886.6
129,0.014,17.5,63.1,0.7,0,884.2
130,0,20.9,48.6,0.6,0,883.4
131,0,21.8,46.5,0.7,0,882.9
132,0.056,17.5,67,0.7,0,883.7
133,0.014,17.6,65,1.1,2,888
134,0,18.4,62.1,1.1,2,887.3
135,0.083,18.1,63.5,0.7,8,887.8
136,0.014,12.9,86.5,1.3,0,889.3
137,0.014,17.4,55.2,1.3,0,890.1
138,0.014,19.3,38.5,1.3,0,891.3
139,0.056,19.1,35.1,0.8,0,888.1
140,0.056,16.3,56,1,0,889.9
141,0.056,19.1,43.9,1,0,888.4
142,0.222,17.8,56.1,0.7,0,887
143,0.167,14.7,75.2,1.2,0,885.8
144,0.028,18.8,40.2,0.9,0,886.2
145,0.056,19.3,35.4,0.9,0,885.3
146,0.083,12,90.4,1.5,0,886.1
147,0.056,17.4,41.5,0.7,0,885
148,0,18.8,36.4,1.1,0,885.9
149,0,22.4,21.6,0.9,0,885.8
150,0.222,16.4,62.3,0.8,8,884.6
151,0.083,19.5,41.3,0.8,2,885.2
152,0.167,17.5,51.4,0.8,0,887.5
153,0.125,16.9,50.4,1.2,0,887.6
154,0.056,15.5,57.6,1.4,2,887
155,0.014,14.8,41.4,0.7,8,890
156,0.014,21.2,16.7,1,0,887.5
157,0.278,12.8,68.4,1,8,886.4
158,0.014,12.6,67.7,0.8,0,886.8
159,0.222,20.3,25.6,1.2,8,885.5
160,0.167,12.3,68.8,1.5,0,886.8
161,0.111,16.4,52.3,1,0,886.4
162,0.083,13.5,55.1,1.1,0,886.7
163,0.056,12.5,60.3,1.1,0,888.6
164,0.022,10.3,76.3,0.9,8,887
165,0.056,17.4,27.6,1,0,887.9
166,0.028,17.3,30,0.7,2,888.4
167,0,13.1,53.3,1.3,0,889.2
168,0.178,12,58.5,0.9,2,888.1
169,0.056,9.9,62.9,0.5,0,887.8
170,0.028,15.3,39.5,1.1,2,889.1
171,0.028,15,32.3,1.2,2,885.4
172,0.222,9.5,66.9,1.4,8,886.1
173,0.139,9.8,61.7,1.4,0,888.7
174,0.278,9.6,54.4,0.9,8,888.5
175,0.167,11,44.6,1.2,0,891.1
176,0.056,13.7,29.8,1,2,887.2
177,0.028,10.9,58.7,1.5,0,887.2
178,0,13,37.3,1.2,8,888.4
179,0,12.7,31,1,8,890.1
180,0,14.8,24.7,1.4,8,888.2
181,0.125,8.3,74.4,1,1,887.9
182,0.167,5.7,95.9,0.8,1,889.4
183,0.028,6.1,96.4,1,7,888.7
184,0.083,8.7,55.4,1,1,890.4
185,0.028,6.4,90.7,0.8,7,889.5
186,0.083,9.6,65.7,0.7,0,891
187,0,17.4,15.7,1.3,1,886.1
188,0.056,15.2,48.9,3.6,8,886.2
