v,RH,u,N,PA,CW,No
14.9,43.5,0.7,0,885.9,0,80
10.9,58.7,1.5,0,887.2,0.028,177
11.1,84.3,0.7,8,887.2,0.167,48
9.1,73.4,1.5,8,886.5,0.222,2
14,41.7,1,2,886.7,0.25,32
17.5,63.1,0.7,0,884.2,0.014,129
14.9,66.9,0.8,0,886.8,0.014,91
17.8,56.1,0.7,0,887,0.222,142
12.6,44.7,1.3,2,887.5,0,7
22.7,24.4,0.7,0,885.2,0,96
13,37.3,1.2,8,888.4,0,178
13.2,41.8,0.8,0,887.1,0,21
17.5,62.5,0.5,0,887.1,0.056,101
17.1,30.6,1.2,2,889.1,0,12
15.8,68.6,0.8,0,886.6,0.042,128
21.6,16.7,0.8,2,887,0,36
17.2,61.8,0.8,0,884.5,0.028,98
18.8,36.4,1.1,0,885.9,0,148
17.4,55.2,1.3,0,890.1,0.014,137
13.3,49.7,1.2,0,886.9,0,24
16.1,66.3,0.5,0,885.7,0.056,99
21.8,46.5,0.7,0,882.9,0,131
12.7,50.8,0.9,6,887.7,0,23
16.7,30.6,1,0,886.4,0,25
15.9,47.3,0.9,0,886.8,0,30
16.6,44.2,0.7,0,887.6,0,84
17.2,58.8,0.7,0,886.4,0.056,100
15.4,42.6,0.8,0,887.8,0,69
19.5,43.9,0.9,0,887.8,0,45
14.7,75.2,1.2,0,885.8,0.167,143
14.6,58.9,0.8,4,887.6,0.111,13
16.9,43.1,0.8,2,886.4,0.083,74
12.3,53.7,0.8,0,886.8,0,81
17.5,67,0.7,0,883.7,0.056,132
13.3,66.5,0.9,0,889,0.083,50
12.6,67.7,0.8,0,886.8,0.014,158
19.4,29.1,0.7,0,885.9,0,43
